name,layer,dmpl_category,address,city,state,zip,phone,toolkit_resources,web_link,full_address,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"Des Moines Catholic Worker","Physical Location","General Assistance","1310 7th Street","Des Moines",IA,50314.0,515.214.1030,"Provides free day-time shelter, meals, groceries, showers, toiletries, clothing, and phone use. Free groceries: Tuesday and Fridays at 3 PM. Canned goods and hygiene products available upon request. Hours: Tue/Thu/Fri 3 PM-6:30 PM; Sat 12 PM-2 PM; Sun 4:30 PM-7 PM.",https://www.facebook.com/people/The-Des-Moines-Catholic-Worker/100092212847355/#,"1310 7th Street, Des Moines, IA 50314",41.602296,-93.627246,1,rooftop,"1310 7th St",,"Des Moines, IA 50314",1310,"7th St",,,"Des Moines",IA,"Polk County",50314,US,"Statewide IA",gcod_usn2fezt7lyrdmfavnedyl44244e7,building_centroid
"Des Moines Pastoral Counseling Center","Physical Location","Mental Health","8553 Urbandale Ave",Urbandale,IA,50322.0,515.274.4006,"Counseling providing understanding, hope, and healing for grief, anxiety, depression, stress, relationship, and parent-child issues. Take a mind, body, and spirit approach. Provides services through insurance or on a sliding-scale/ability-to-pay basis. Hours: Mon-Fri 8 AM-5 PM (evening hours available).",https://mindspiritcenter.org/,"8553 Urbandale Ave, Urbandale, IA 50322",41.621912,-93.734609,1,rooftop,"8553 Urbandale Ave",,"Urbandale, IA 50322",8553,"Urbandale Ave",,,Urbandale,IA,"Polk County",50322,US,"Statewide IA",gcod_usn486f667b8hysh645jvykewzfhg,building_centroid
"Des Moines Public Housing","Physical Location","Temporary Housing","2309 Euclid Avenue","Des Moines",IA,50310.0,515.323.8950,"Provides subsidized rentals for eligible low- and moderate-income families and individuals. Part of the Municipal Housing Agency. Hours: Monday-Friday 8 AM-5 PM.",https://www.dsm.city/departments/housing/index.php,"2309 Euclid Avenue, Des Moines, IA 50310",41.629163,-93.647795,1,rooftop,"2309 Euclid Ave",,"Des Moines, IA 50310",2309,"Euclid Ave",,,"Des Moines",IA,"Polk County",50310,US,"Statewide IA",gcod_usnydvaumqv9ln7csfj2j88v3tsz7,building_centroid
"Des Moines Public Schools Bilingual Family Liaisons","Physical Location","Immigrants & Refugees","1000 Porter Avenue","Des Moines",IA,50315.0,515.242.7911,"Provides a wide range of services to refugee and immigrant families. Connects families with community resources such as housing, healthcare, and essential needs and equips families with tools to advocate for their children.",https://www.dmschools.org/community-schools/bilingual-family-liaisons/,"1000 Porter Avenue, Des Moines, IA 50315",41.533409,-93.628128,1,rooftop,"1000 Porter Ave",,"Des Moines, IA 50315",1000,"Porter Ave",,,"Des Moines",IA,"Polk County",50315,US,"Statewide IA",gcod_usndabf5ynk6p3b8ejzge9ep9xmz2,building_centroid
"Des Moines Vet Center","Physical Location","Veteran Resources","1821 22nd Street Suite 115","West Des Moines",IA,50266.0,515.284.4929,"Provides a broad range of counseling, outreach, and referral services to combat Veterans and their families. All services are completely free of cost and strictly confidential. Hours: Mon 8 AM-7:30 PM; Tue/Thu 7:30 AM-7:30 PM; Wed/Fri 8 AM-4:30 PM.",https://www.va.gov/des-moines-vet-center/,"1821 22nd Street Suite 115, West Des Moines, IA 50266",41.611348,-93.64663,1,rooftop,"1821 22nd St","Ste 115","Des Moines, IA 50310",1821,"22nd St",Ste,115,"Des Moines",IA,"Polk County",50310,US,"Statewide IA",gcod_usnvuzaqacsezk79eqd5d6njrhp6b-ct378lcgm4kx7,building_centroid
"DHS Child Care Assistance","Physical Location","Child Care","2309 Euclid Avenue","Des Moines",IA,50310.0,1.866.448.4605,"Child Care Assistance (CCA) helps pay for the care of your child while a parent or caretaker works, attends school, looks for work, or is unable to care for children due to medical reasons. Hours: Monday-Friday 8 AM-4:30 PM.",https://hhs.iowa.gov/assistance-programs/child-care-assistance,"2309 Euclid Avenue, Des Moines, IA 50310",41.629163,-93.647795,1,rooftop,"2309 Euclid Ave",,"Des Moines, IA 50310",2309,"Euclid Ave",,,"Des Moines",IA,"Polk County",50310,US,"Statewide IA",gcod_usnydvaumqv9ln7csfj2j88v3tsz7,building_centroid
"Disability Rights Iowa","Physical Location","Legal Assistance","666 Walnut St.","Des Moines",IA,50309.0,515.278.2502,"Defends and promotes the human and legal rights of Iowans who have disabilities and mental illness. Focuses on self-advocacy education, non-legal advocacy, and legal/systems advocacy. Intake Hours: Monday-Friday 8 AM-5 PM.",https://disabilityrightsiowa.org/,"666 Walnut St., Des Moines, IA 50309",41.585533,-93.6255,1,rooftop,"666 Walnut St",,"Des Moines, IA 50309",666,"Walnut St",,,"Des Moines",IA,"Polk County",50309,US,"Statewide IA",gcod_usnnanuftdmw5kdh8wx9kra8ws96d,building_centroid
"DMACC Adult Literacy Center","Physical Location",Education,"1100 7th St. Building 1, Room 110","Des Moines",IA,50314.0,515.248.7517,"Free service for any adult in the community who needs to improve reading, writing, and/or speaking skills. Adults meet one-to-one with a volunteer tutor and/or learn with an online learning program. Located at DMACC Urban Campus.",https://dmacc.edu/desmoines/adult-literacy-center.html,"1100 7th St. Building 1, Room 110, Des Moines, IA 50314",41.599946,-93.627562,1,rooftop,"1100 7th St","Bldg 1","Des Moines, IA 50314",1100,"7th St",Bldg,1,"Des Moines",IA,"Polk County",50314,US,"Statewide IA",gcod_usn2fezt7lyrdmfakknxcjw3k2nja-cpeylk235qlee,building_centroid
"Door of Faith","Physical Location","Substance Abuse","6701 SW 9th Street","Des Moines",IA,50315.0,515.287.7414,"A structured recovery program for men. Operated as a part of Hope Ministries services.",https://www.hopeiowa.org,"6701 SW 9th Street, Des Moines, IA 50315",41.523093,-93.625147,1,rooftop,"6701 SW 9th St",,"Des Moines, IA 50315",6701,"SW 9th St",,,"Des Moines",IA,"Polk County",50315,US,"Statewide IA",gcod_usn4df4jqfh88n2a4jzf2rulx26k7,building_centroid
"Drake Law School Legal Clinic","Physical Location","Legal Assistance","2400 University Avenue","Des Moines",IA,50311.0,515.271.3851,"The General Civil Practice Clinic has two intake days per year, accepting family law cases (custody, divorce, decree modifications). The Elder Law Clinic accepts clients year-round, and the Refugee Law Clinic accepts clients as resources permit. Submit inquiries via phone or email (law-clinic@drake.edu).",https://www.drake.edu/law/clinics-centers/clinic/,"2400 University Avenue, Des Moines, IA 50311",41.600257,-93.649912,1,rooftop,"2400 University Ave",,"Des Moines, IA 50311",2400,"University Ave",,,"Des Moines",IA,"Polk County",50311,US,"Statewide IA",gcod_usnz9rm7neekbajbr6p7mcx6g7n64,building_centroid
"Dress for Success","Physical Location",Clothing,"7025 Hickman Road, Suite 3",Urbandale,IA,50322.0,515.288.0130,"Women obtain what they need for an interview and can return once they find employment for the apparel and accessories needed to enter the workforce. Hours: Mon/Wed/Thu 9:30 AM-3:30 PM, Tue 9:30 AM-7:30 PM.",https://desmoines.dressforsuccess.org/,"7025 Hickman Road, Suite 3, Urbandale, IA 50322",41.615469,-93.71452,1,rooftop,"7025 Hickman Rd","Ste 3","Urbandale, IA 50322",7025,"Hickman Rd",Ste,3,Urbandale,IA,"Polk County",50322,US,"Statewide IA",gcod_usnc2jh7ukdmh36327uk7pmfunl3f-vcgelnmbj74b7,building_centroid
"East Community Center","Physical Location","Community Centers","1231 E. 26th Street","Des Moines",IA,50317.0,515.265.8461,"Crafts, games, exercise, health clinics, and other activities for seniors and other adults. Meals served on selected days (Serving Time: 11 AM-12:30 PM). Check calendar for details. Hours: Monday-Friday 8 AM-4:30 PM.",https://www.polkcountyiowa.gov/community-family-youth-services/senior-services/...,"1231 E. 26th Street, Des Moines, IA 50317",41.601531,-93.567629,1,rooftop,"1231 E 26th St",,"Des Moines, IA 50317",1231,"E 26th St",,,"Des Moines",IA,"Polk County",50317,US,"Statewide IA",gcod_usny36uc7y7j8ptgefqx6pafspru3,building_centroid
"East Side Library","Physical Location","Branch Locations","2559 Hubbell Avenue","Des Moines",IA,50317.0,"(515) 283-4152","In-Person Services: Monday-Thursday 10:00 AM-8:00 PM, Friday 10:00 AM-6:00 PM, Saturday 10:00 AM-5:00 PM. Closed Sunday.",/locations-hours/east-side,"2559 Hubbell Avenue, Des Moines, IA 50317",41.611261,-93.566593,1,rooftop,"2559 Hubbell Ave",,"Des Moines, IA 50317",2559,"Hubbell Ave",,,"Des Moines",IA,"Polk County",50317,US,"Statewide IA",gcod_usnaftusyxqfkw34qp9a87f4a6uhd,building_centroid
Easterseals,"Physical Location",Disabilities,"401 NE 66th Avenue","Des Moines",IA,50313.0,515.289.1933,"Provides a wide range of services to ensure that all people with disabilities or special needs and their families have equal opportunities to live, learn, work, and play in their communities. Hours: Monday-Friday 8 AM-5 PM.",https://www.easterseals.com/ia/,"401 NE 66th Avenue, Des Moines, IA 50313",41.678144,-93.613816,1,rooftop,"401 NE 66th Ave",,"Des Moines, IA 50313",401,"NE 66th Ave",,,"Des Moines",IA,"Polk County",50313,US,"Statewide IA",gcod_usnghm294yh84wn69rlujchk9eq97,building_centroid
"Eastside Church of the Nazarene Pantry","Physical Location","Food Pantries","1451 E. 25th St.","Des Moines",IA,50317.0,515.265.6000,"Food pantry distribution. Hours: Tuesday and Thursday 9 AM-10:30 AM (appointments only, call to schedule).",https://www.dsmeastside.org/?subpages/food%20pantry.shtml,"1451 E. 25th St., Des Moines, IA 50317",41.605965,-93.570367,1,rooftop,"1451 E 25th St",,"Des Moines, IA 50317",1451,"E 25th St",,,"Des Moines",IA,"Polk County",50317,US,"Statewide IA",gcod_usnc8sdxb4ldt5z588l6h8mjxh4a3,building_centroid
"Eastview Community Center","Physical Location","Community Centers","4101 East 42nd Street","Des Moines",IA,50317.0,515.809.2356,"Owned and operated by Valley Church, offering a number of activities including fitness classes, community events, and serving opportunities. Food Pantry Hours: Tue/Wed 2 PM-5 PM, Thu 10 AM-12 PM, Fri 10 AM-2 PM.",http://www.eastviewcc.com/,"4101 East 42nd Street, Des Moines, IA 50317",41.635056,-93.531379,1,rooftop,"4101 E 42nd St",,"Des Moines, IA 50317",4101,"E 42nd St",,,"Des Moines",IA,"Polk County",50317,US,"Statewide IA",gcod_usnl6hwexy3jjuq362bcgwdfbwgbf,building_centroid
"Eddie Davis Community Center","Physical Location","Community Centers","1312 Maple St","West Des Moines",IA,50265.0,515.277.1103,"Provides several neighborhood support services, including community meals and an active food pantry. Hours: Monday-Friday 12 PM-4 PM.",https://www.eddiedaviscenter.org/,"1312 Maple St, West Des Moines, IA 50265",41.596093,-93.602523,0.88,nearest_rooftop_match,"1290 Maple St",,"Des Moines, IA 50316",1290,"Maple St",,,"Des Moines",IA,"Polk County",50316,US,"Statewide IA",gcod_usn9gkbdu3grwm3984e2tund6ez64,building_centroid
Ellipsis,"Physical Location",Shelters,"918 SE 11th St","Des Moines",IA,50309.0,"515.243.3459, 515.282.9377","Youth shelter providing a safe, supportive environment for kids of all ages. Offers diverse therapeutic and counseling services for emotional, behavioral, or substance use needs, alongside Transitional and Independent Living programs for young adults. 24/7 Crisis Line: 515.243.3459.",https://ellipsisiowa.org/,"918 SE 11th St, Des Moines, IA 50309",41.579544,-93.599062,1,rooftop,"918 SE 11th St",,"Des Moines, IA 50309",918,"SE 11th St",,,"Des Moines",IA,"Polk County",50309,US,"Statewide IA",gcod_usn6wnxrnsqrteh7wrmckl3gwtym9,building_centroid
"Embarc Refugee Parent Navigator Project","Physical Location","Immigrants & Refugees","4801 Franklin Ave. Suite 101","Des Moines",IA,50310.0,515.512.5252,"Provides immigrant and refugee parents with peer-to-peer child development and parenting education to build problem-solving skills and navigate Western parenting norms. Also facilitates direct access to preschool and kindergarten registration. Hours: Mon-Fri 9 AM-5 PM.",http://www.embarciowa.org/,"4801 Franklin Ave. Suite 101, Des Moines, IA 50310",41.611691,-93.683295,1,rooftop,"4801 Franklin Ave","Ste 101","Des Moines, IA 50310",4801,"Franklin Ave",Ste,101,"Des Moines",IA,"Polk County",50310,US,"Statewide IA",gcod_usnsupwqvkcgk83cdey6gbhmrg48h-exwdezc5j3rd5,building_centroid
"Employee & Family Resources","Physical Location","Mental Health","505 Fifth Avenue, Suite 600","Des Moines",IA,50309.0,1.800.327.4692,"Provides structural counseling services to youth, adults, and families, including substance use disorder assessments and juvenile/adult referrals. Features an Employee Assistance Program with a 24/7 crisis hotline (1.800.327.4692). Hours: Mon-Thu 8 AM-5 PM, Fri 8 AM-4:30 PM.",http://www.efr.org/,"505 Fifth Avenue, Suite 600, Des Moines, IA 50309",41.588308,-93.623966,1,rooftop,"505 5th Ave","Ste 600","Des Moines, IA 50309",505,"5th Ave",Ste,600,"Des Moines",IA,"Polk County",50309,US,"Statewide IA",gcod_usnzzzgtawlk9l96r969e6lhuhjac-ufdpesxwgkal3,building_centroid
"Epworth United Methodist Church","Physical Location","General Assistance","412 Euclid Ave.","Des Moines",IA,50313.0,515.243.3817,"Features a trained community ministry team providing long-term supportive services and reentry navigation for individuals released from prison. Also serves hot community meals on-site. Meal Times: Tuesdays 5:30 PM-6:30 PM, Saturdays 11 AM-12:30 PM. Office Hours: M/Tu/W/F 8:30 AM-12 PM.",http://www.epworthumc-desmoines.org/,"412 Euclid Ave., Des Moines, IA 50313",41.627496,-93.623099,1,rooftop,"412 Euclid Ave",,"Des Moines, IA 50313",412,"Euclid Ave",,,"Des Moines",IA,"Polk County",50313,US,"Statewide IA",gcod_usndg5l76ssam623u7ejftvsdpky5,building_centroid
"Evelyn K Davis Center","Physical Location","Job Assistance","1171 7th Street","Des Moines",IA,50314.0,515.697.7700,"Comprehensive career center offering job searches, interview coaching, resume prep, work readiness training, and Adult Based Education classes. Features 'Men on the Move Clothing Closet' (Tue-Fri 11 AM-2 PM by appointment), providing a personal shopping experience for career attire. Center Hours: Mon-Fri 8 AM-4:30 PM.",https://www.dmacc.edu/ekdc/programs.html,"1171 7th Street, Des Moines, IA 50314",41.599655,-93.62633,1,rooftop,"1171 7th St",,"Des Moines, IA 50314",1171,"7th St",,,"Des Moines",IA,"Polk County",50314,US,"Statewide IA",gcod_usn2fezt7lyrdmfabdhrdcsvh2pv5,building_centroid
"Everybody Wins! Iowa","Physical Location",Education,"901 Walnut Street, School #315","Des Moines",IA,50309.0,515.277.7590,"Matches volunteer reading mentors one-to-one with elementary students for weekly one-hour shared reading and conversation sessions. Programs operate during breakfast, lunch, after-school, or evening dinner hours across local schools and organizations.",https://everybodywinsiowa.org/,"901 Walnut Street, School #315, Des Moines, IA 50309",41.585276,-93.628766,1,rooftop,"901 Walnut St","# 315","Des Moines, IA 50309",901,"Walnut St",#,315,"Des Moines",IA,"Polk County",50309,US,"Statewide IA",gcod_usnnanuftdmw5kdhjr9tqbbn7ncx4-qwnclqyddtmle,building_centroid
"EveryStep Care and Support Services","Physical Location",Education,"3000 Easton Boulevard","Des Moines",IA,50317.0,"515.288.1516, 515.274.3400","Hosts the 'Play and Learn Program,' offering child-directed, playful learning activities for families with children ages 0-8 (includes a free book and healthy snack at each session). Organization also delivers home health, hospice care, and extensive clinical grief/loss support systems.",https://www.everystep.org/about/events,"3000 Easton Boulevard, Des Moines, IA 50317",41.612515,-93.558668,1,rooftop,"3000 Easton Blvd",,"Des Moines, IA 50317",3000,"Easton Blvd",,,"Des Moines",IA,"Polk County",50317,US,"Statewide IA",gcod_usn64r5zh8z3lf687ct47anj8w4q8,building_centroid
"Eyerly Ball Community Mental Health Center","Physical Location","Mental Health","1319 Pennsylvania Ave.","Des Moines",IA,50316.0,515.241.0982,"Community mental health center providing comprehensive treatment for individuals experiencing depression, anxiety, substance use, and chronic mental illness conditions. Hours: Monday-Friday 8 AM-4:30 PM.",https://www.unitypoint.org/locations/unitypoint-health---eyerly-ball,"1319 Pennsylvania Ave., Des Moines, IA 50316",41.602972,-93.608159,1,rooftop,"1319 Pennsylvania Ave",,"Des Moines, IA 50316",1319,"Pennsylvania Ave",,,"Des Moines",IA,"Polk County",50316,US,"Statewide IA",gcod_usnu6nvzggllknwfy2c8m9qglpag3,building_centroid
"Families Forward/New Directions Shelter","Physical Location",Shelters,"3001 Grand Avenue","Des Moines",IA,50312.0,"515.244.9748, 515.243.7456","Provides free, immediate temporary emergency shelter and supportive resources for families with children experiencing homelessness (New Directions Shelter), alongside transitional and supportive housing programs to help families establish financial independence.",https://www.familiesforward.org/,"3001 Grand Avenue, Des Moines, IA 50312",41.584836,-93.657999,1,rooftop,"3001 Grand Ave",,"Des Moines, IA 50312",3001,"Grand Ave",,,"Des Moines",IA,"Polk County",50312,US,"Statewide IA",gcod_usnw6jxc8g7erxghakrc4vrr3v9v5,building_centroid
"Family Enrichment Center","Physical Location","General Assistance","2309 Euclid Avenue","Des Moines",IA,50310.0,515.286.3406,"Delivers integrated family support services, educational tracking, skill training, and immediate employment connections to assist households in establishing economic stability and self-sufficiency.",https://www.polkcountyiowa.gov/community-family-youth-services/community-and-fa...,"2309 Euclid Avenue, Des Moines, IA 50310",41.629163,-93.647795,1,rooftop,"2309 Euclid Ave",,"Des Moines, IA 50310",2309,"Euclid Ave",,,"Des Moines",IA,"Polk County",50310,US,"Statewide IA",gcod_usnydvaumqv9ln7csfj2j88v3tsz7,building_centroid
"Family Self Sufficiency Program","Physical Location","General Assistance","2309 Euclid Avenue","Des Moines",IA,50310.0,"515.323.8983, 515.323.8969","Coordinates public housing assistance with regional private development resources to enable participating lower-income households to build lasting economic independence. Administered as part of the Des Moines Municipal Housing Agency.","https://www.dsm.city/departments/housing/family_self sufficiency.php","2309 Euclid Avenue, Des Moines, IA 50310",41.629163,-93.647795,1,rooftop,"2309 Euclid Ave",,"Des Moines, IA 50310",2309,"Euclid Ave",,,"Des Moines",IA,"Polk County",50310,US,"Statewide IA",gcod_usnydvaumqv9ln7csfj2j88v3tsz7,building_centroid
"Forest Avenue Library","Physical Location","Branch Locations","1326 Forest Ave.","Des Moines",IA,50314.0,"(515) 283-4152","In-Person Services: Monday-Thursday 10:00 AM-8:00 PM, Friday 10:00 AM-6:00 PM, Saturday 10:00 AM-5:00 PM. Closed Sunday.",/locations-hours/forest-avenue,"1326 Forest Ave., Des Moines, IA 50314",41.603695,-93.63558,1,rooftop,"1326 Forest Ave",,"Des Moines, IA 50314",1326,"Forest Ave",,,"Des Moines",IA,"Polk County",50314,US,"Statewide IA",gcod_usnukpxjsbj5n3qbexc8dey7uuhs7,building_centroid
"Fourmile Community Center","Physical Location","Community Centers","3711 Easton Boulevard","Des Moines",IA,50317.0,515.265.9977,"Features community programs for all age brackets, including an on-site weight and fitness room, a public computer lab, and Polk County congregate senior meal services. Center Hours: 9 AM-3 PM. Meal Serving Time: 11 AM-12:30 PM.",https://www.polkcountyiowa.gov/community-family-youth-services/senior-services/...,"3711 Easton Boulevard, Des Moines, IA 50317",41.614243,-93.542535,1,rooftop,"3711 Easton Blvd",,"Des Moines, IA 50317",3711,"Easton Blvd",,,"Des Moines",IA,"Polk County",50317,US,"Statewide IA",gcod_usn64r5zh8z3lf68cdechhqx4m3t3,building_centroid
"Franklin Avenue Library","Physical Location","Branch Locations","5000 Franklin Avenue","Des Moines",IA,50310.0,"(515) 283-4152","In-Person Services: Monday-Thursday 9:00 AM-8:00 PM, Friday 9:00 AM-6:00 PM, Saturday 10:00 AM-5:00 PM, Sunday 12:00-4:00 PM. Drive-up Pickup Window Hours: Monday-Friday 10:00 AM-6:00 PM, Saturday 10:00 AM-5:00 PM. Drive-up Window Closed Sunday.",/locations-hours/franklin-avenue,"5000 Franklin Avenue, Des Moines, IA 50310",41.610993,-93.688076,1,rooftop,"5000 Franklin Ave",,"Des Moines, IA 50310",5000,"Franklin Ave",,,"Des Moines",IA,"Polk County",50310,US,"Statewide IA",gcod_usnsupwqvkcgk83cr3zjs7wty3lna,building_centroid
"Friendship Center","Physical Location","Community Centers","1526 Martin Luther King Jr Pkwy","Des Moines",IA,50311.0,515.244.1701,"Faith-based center providing an on-site food pantry and a community clothes closet. Hosts 'The Washboard' mobile laundry program, providing direct laundry assistance and machine quarters (call or check Facebook to verify weekly mobile locations).",https://www.facebook.com/FriendshipCenterDSM/,"1526 Martin Luther King Jr Pkwy, Des Moines, IA 50311",41.606683,-93.644083,1,rooftop,"1526 Martin Luther King Jr Pkwy",,"Des Moines, IA 50314",1526,"Martin Luther King Jr Pkwy",,,"Des Moines",IA,"Polk County",50314,US,"Statewide IA",gcod_usnqmw9atx7lldzdqsal7j2tehghh,building_centroid
"Full Circle Recovery","Physical Location","Substance Abuse","4725 Merle Hay Road","Des Moines",IA,50322.0,515.783.6382,"An independent, peer-led recovery community organization providing emotional, informational, and practical support structures for individuals and families impacted by substance use. Note: This is a peer-support network and not a clinical treatment provider.",https://recoverfullcircle.org/,"4725 Merle Hay Road, Des Moines, IA 50322",41.646088,-93.696467,0.91,rooftop,"4725 Merle Hay Rd",,"Des Moines, IA 50322",4725,"Merle Hay Rd",,,"Des Moines",IA,"Polk County",50322,US,"Statewide IA",gcod_usnkm2abzshxebk633cym5nsqpbxc,building_centroid
"Genesis Youth Foundation","Physical Location","Immigrants & Refugees","2500 University Ave.","Des Moines",IA,50311.0,515.219.7428,"Delivers dedicated after-school programs for immigrant and refugee youths, offering targeted academic assistance across reading, writing, mathematics, science, language development, and the arts.",https://www.genesisyouthfoundation.org/,"2500 University Ave., Des Moines, IA 50311",41.600237,-93.651203,1,rooftop,"2500 University Ave",,"Des Moines, IA 50311",2500,"University Ave",,,"Des Moines",IA,"Polk County",50311,US,"Statewide IA",gcod_usnz9rm7neekbajbcpxqlwslybw2f,building_centroid
"Grace United Methodist Services","Physical Location","General Assistance","3700 Cottage Grove Avenue","Des Moines",IA,50311.0,515.255.2131,"Hosts a 24/7 open-access outdoor Community Fridge in the parking lot adjacent to the west garage. Provides a free community meal every Tuesday from 5 PM-7 PM, and runs a free walk-in medical clinic every Tuesday (Registration: 5 PM-7 PM; Patient hours: 5:30 PM-7:30 PM).",https://www.gracedesmoines.org/service,"3700 Cottage Grove Avenue, Des Moines, IA 50311",41.598002,-93.66717,1,rooftop,"3700 Cottage Grove Ave",,"Des Moines, IA 50311",3700,"Cottage Grove Ave",,,"Des Moines",IA,"Polk County",50311,US,"Statewide IA",gcod_usnxeyrbel7ke9z7jpp645ua2d4jc,building_centroid
Griefshare,"Physical Location",Grief,"206 SW Walnut Street",Ankeny,IA,50023.0,515.964.4249,"Operates structured community grief support groups, including specialty sessions such as 'Death of a Spouse' and 'Surviving the Holidays'. Hosted at Ankeny United Methodist Church.",https://www.ankenyfirst.org/care,"206 SW Walnut Street, Ankeny, IA 50023",41.730933,-93.60634,1,rooftop,"206 SW Walnut St",,"Ankeny, IA 50023",206,"SW Walnut St",,,Ankeny,IA,"Polk County",50023,US,"Statewide IA",gcod_usnwvnjz3pgjvflen4krmjm4qqgdd,building_centroid
"Grieving with UnityPoint","Physical Location",Grief,"11333 Aurora Ave.",Urbandale,IA,50322.0,515.557.3126,"Delivers comprehensive bereavement care, including individualized one-on-one grief counseling, telephonic support, therapeutic workshop series, memorial programming, and local resource coordination.",https://www.unitypoint.org/find-a-service/hospice-care/bereavement-support,"11333 Aurora Ave., Urbandale, IA 50322",41.638924,-93.774374,1,rooftop,"11333 Aurora Ave",,"Urbandale, IA 50322",11333,"Aurora Ave",,,Urbandale,IA,"Polk County",50322,US,"Statewide IA",gcod_usnun489lyat9w8h2u25para3zafa,building_centroid
"Grimes Food Pantry","Physical Location","Food Pantries","112 NE Ewing St.",Grimes,IA,50111.0,515.986.4191,"Local food pantry and clothing closet servicing residents of Grimes. Requirements: Photo ID and a current rent or utility bill are mandatory to verify residency. Hours: Tuesday & Thursday 9 AM-12 PM; 1st & 2nd Tuesday of each month 5:30 PM-7:30 PM.",https://grimesstorehouse.com/food-pantry/,"112 NE Ewing St., Grimes, IA 50111",41.689044,-93.793886,0.93,rooftop,"112 NE Ewing St",,"Grimes, IA 50111",112,"NE Ewing St",,,Grimes,IA,"Polk County",50111,US,"Statewide IA",gcod_usnflzrsgbcssu83p29e93fv4r7a7,building_centroid
"Hansen House of Hospitality","Physical Location",Shelters,"1521 6th Avenue","Des Moines",IA,50314.0,515.282.0549,"Provides temporary shelter and reintegration support for 10 men transitioning from prison back into the community.",,"1521 6th Avenue, Des Moines, IA 50314",41.606651,-93.625521,1,rooftop,"1521 6th Ave",,"Des Moines, IA 50314",1521,"6th Ave",,,"Des Moines",IA,"Polk County",50314,US,Polk,gcod_usnqpwl38sh6vkd5bjdty8nke3vud,
"Harbor of Hope Recovery House","Physical Location","Substance Abuse","3650 Cottage Grove Ave.","Des Moines",IA,50311.0,515.244.0370,"Provides men coming from prison, jail, treatment, or other correctional programs with access and information to community resources while supplying safe, adequate transitional housing.",http://harborofhopeiowa.com,"3650 Cottage Grove Ave., Des Moines, IA 50311",41.59823,-93.666335,1,rooftop,"3650 Cottage Grove Ave",,"Des Moines, IA 50311",3650,"Cottage Grove Ave",,,"Des Moines",IA,"Polk County",50311,US,"Statewide IA",gcod_usnxeyrbel7ke9z7w9sbau757nye4,building_centroid
"Harm Reduction Kits (Polk County Health Dept.)","Physical Location","General Assistance","1907 Carpenter Ave.","Des Moines",IA,50314.0,515-286-3798,"Features a free vending machine with harm reduction supplies located at the Polk County Health Department. Also coordinates a 24/7 open-access lock box at River Place (2309 Euclid Ave, Des Moines, IA 50314; Lock Box Code: 185 036) containing free kits for cleaning needles and syringes, Sharps containers, and hygiene packs with soap, toothbrushes, and period products.",https://www.polkcountyiowa.gov/health-department/services-and-programs/harm-red...,"1907 Carpenter Ave., Des Moines, IA 50314",41.602927,-93.643379,1,rooftop,"1907 Carpenter Ave",,"Des Moines, IA 50314",1907,"Carpenter Ave",,,"Des Moines",IA,"Polk County",50314,US,Polk,gcod_usnbeh9lf7fpx3eh8jvqccr4pu8u9,
"Harvest Academy","Physical Location","Substance Abuse","8769 G24 Hwy",Indianola,IA,50125.0,515.901.8714,"A comprehensive, minimum two-year residential life skills and community program designed to help individuals reshape attitudes, behaviors, and values. Apply via phone or online form.",https://harvestacademyiowa.com/,"8769 G24 Hwy, Indianola, IA 50125",41.43885,-93.596449,0.7,street_center,"G24 Hwy",,"Indianola, IA 50125",,"G24 Hwy",,,Indianola,IA,"Warren County",50125,US,"TIGER/Line® dataset from the US Census Bureau",gcod_uss5yyhc74wy9lt9,
"Highland Park Christian Church","Physical Location","General Assistance","4260 NW 6th Drive","Des Moines",IA,50313.0,515.244.3182,"Hosts a free weekly community meal every Thursday from 5 PM-6 PM with no cost and no agenda. Also operates a free clothing closet featuring an assortment of gently used items on Mondays and Fridays from 10 AM-12 PM, and the first Thursday of the month from 4 PM-6 PM.",http://www.hpchristiandsm.org/?pageid=11,"4260 NW 6th Drive, Des Moines, IA 50313",41.637236,-93.626086,1,rooftop,"4260 NW 6th Dr",,"Des Moines, IA 50313",4260,"NW 6th Dr",,,"Des Moines",IA,"Polk County",50313,US,"Statewide IA",gcod_usnrbflxeqnbbqpcbhs8yz7equkac,building_centroid
"Home Inc.","Physical Location","General Assistance","1618 6th Ave.","Des Moines",IA,50314.0,515.243.1277,"Offers structured assistance programs for local homeowners who need to make necessary, essential property repairs to keep their living spaces safe and habitable.",https://www.homeincdsm.org/,"1618 6th Ave., Des Moines, IA 50314",41.608207,-93.625983,1,rooftop,"1618 6th Ave",,"Des Moines, IA 50314",1618,"6th Ave",,,"Des Moines",IA,"Polk County",50314,US,"Statewide IA",gcod_usnqpwl38sh6vkd5b8vvmm5zcnc98,building_centroid
