name,layer,dmpl_category,address,city,state,zip,phone,toolkit_resources,web_link,full_address
Epworth United Methodist Church,Physical Location,General Assistance,412 Euclid Ave.,Des Moines,IA,50313.0,515.243.3817,"Features a trained community ministry team providing long-term supportive services and reentry navigation for individuals released from prison. Also serves hot community meals on-site. Meal Times: Tuesdays 5:30 PM-6:30 PM, Saturdays 11 AM-12:30 PM. Office Hours: M/Tu/W/F 8:30 AM-12 PM.",http://www.epworthumc-desmoines.org/,"412 Euclid Ave., Des Moines, IA 50313"
Evelyn K Davis Center,Physical Location,Job Assistance,1171 7th Street,Des Moines,IA,50314.0,515.697.7700,"Comprehensive career center offering job searches, interview coaching, resume prep, work readiness training, and Adult Based Education classes. Features 'Men on the Move Clothing Closet' (Tue-Fri 11 AM-2 PM by appointment), providing a personal shopping experience for career attire. Center Hours: Mon-Fri 8 AM-4:30 PM.",https://www.dmacc.edu/ekdc/programs.html,"1171 7th Street, Des Moines, IA 50314"
Everybody Wins! Iowa,Physical Location,Education,"901 Walnut Street, School #315",Des Moines,IA,50309.0,515.277.7590,"Matches volunteer reading mentors one-to-one with elementary students for weekly one-hour shared reading and conversation sessions. Programs operate during breakfast, lunch, after-school, or evening dinner hours across local schools and organizations.",https://everybodywinsiowa.org/,"901 Walnut Street, School #315, Des Moines, IA 50309"
EveryStep Care and Support Services,Physical Location,Education,3000 Easton Boulevard,Des Moines,IA,50317.0,"515.288.1516, 515.274.3400","Hosts the 'Play and Learn Program,' offering child-directed, playful learning activities for families with children ages 0-8 (includes a free book and healthy snack at each session). Organization also delivers home health, hospice care, and extensive clinical grief/loss support systems.",https://www.everystep.org/about/events,"3000 Easton Boulevard, Des Moines, IA 50317"
Eyerly Ball Community Mental Health Center,Physical Location,Mental Health,1319 Pennsylvania Ave.,Des Moines,IA,50316.0,515.241.0982,"Community mental health center providing comprehensive treatment for individuals experiencing depression, anxiety, substance use, and chronic mental illness conditions. Hours: Monday-Friday 8 AM-4:30 PM.",https://www.unitypoint.org/locations/unitypoint-health---eyerly-ball,"1319 Pennsylvania Ave., Des Moines, IA 50316"
Families Forward/New Directions Shelter,Physical Location,Shelters,3001 Grand Avenue,Des Moines,IA,50312.0,"515.244.9748, 515.243.7456","Provides free, immediate temporary emergency shelter and supportive resources for families with children experiencing homelessness (New Directions Shelter), alongside transitional and supportive housing programs to help families establish financial independence.",https://www.familiesforward.org/,"3001 Grand Avenue, Des Moines, IA 50312"
Family Enrichment Center,Physical Location,General Assistance,2309 Euclid Avenue,Des Moines,IA,50310.0,515.286.3406,"Delivers integrated family support services, educational tracking, skill training, and immediate employment connections to assist households in establishing economic stability and self-sufficiency.",https://www.polkcountyiowa.gov/community-family-youth-services/community-and-fa...,"2309 Euclid Avenue, Des Moines, IA 50310"
Family Self Sufficiency Program,Physical Location,General Assistance,2309 Euclid Avenue,Des Moines,IA,50310.0,"515.323.8983, 515.323.8969",Coordinates public housing assistance with regional private development resources to enable participating lower-income households to build lasting economic independence. Administered as part of the Des Moines Municipal Housing Agency.,https://www.dsm.city/departments/housing/family_self sufficiency.php,"2309 Euclid Avenue, Des Moines, IA 50310"
Food Bank of Iowa,Virtual / Regional (No Address),Food Pantries,2220 E 17th St,Des Moines,IA,50316.0,515.564.0330,Acts as a central supply hub that safely provides food logistics and commodities directly to other frontline organizations and regional food pantries serving neighbors in need. Neighbors looking for local public distribution sites should utilize the 'Find Food' tool on their website.,https://www.foodbankiowa.org/,
Forest Avenue Library,Physical Location,Branch Locations,1326 Forest Ave.,Des Moines,IA,50314.0,(515) 283-4152,"In-Person Services: Monday-Thursday 10:00 AM-8:00 PM, Friday 10:00 AM-6:00 PM, Saturday 10:00 AM-5:00 PM. Closed Sunday.",/locations-hours/forest-avenue,"1326 Forest Ave., Des Moines, IA 50314"
Fourmile Community Center,Physical Location,Community Centers,3711 Easton Boulevard,Des Moines,IA,50317.0,515.265.9977,"Features community programs for all age brackets, including an on-site weight and fitness room, a public computer lab, and Polk County congregate senior meal services. Center Hours: 9 AM-3 PM. Meal Serving Time: 11 AM-12:30 PM.",https://www.polkcountyiowa.gov/community-family-youth-services/senior-services/...,"3711 Easton Boulevard, Des Moines, IA 50317"
Franklin Avenue Library,Physical Location,Branch Locations,5000 Franklin Avenue,Des Moines,IA,50310.0,(515) 283-4152,"In-Person Services: Monday-Thursday 9:00 AM-8:00 PM, Friday 9:00 AM-6:00 PM, Saturday 10:00 AM-5:00 PM, Sunday 12:00-4:00 PM. Drive-up Pickup Window Hours: Monday-Friday 10:00 AM-6:00 PM, Saturday 10:00 AM-5:00 PM. Drive-up Window Closed Sunday.",/locations-hours/franklin-avenue,"5000 Franklin Avenue, Des Moines, IA 50310"
Friendship Center,Physical Location,Community Centers,1526 Martin Luther King Jr Pkwy,Des Moines,IA,50311.0,515.244.1701,"Faith-based center providing an on-site food pantry and a community clothes closet. Hosts 'The Washboard' mobile laundry program, providing direct laundry assistance and machine quarters (call or check Facebook to verify weekly mobile locations).",https://www.facebook.com/FriendshipCenterDSM/,"1526 Martin Luther King Jr Pkwy, Des Moines, IA 50311"
Full Circle Recovery,Physical Location,Substance Abuse,4725 Merle Hay Road,Des Moines,IA,50322.0,515.783.6382,"An independent, peer-led recovery community organization providing emotional, informational, and practical support structures for individuals and families impacted by substance use. Note: This is a peer-support network and not a clinical treatment provider.",https://recoverfullcircle.org/,"4725 Merle Hay Road, Des Moines, IA 50322"
Gambling Hotline,Virtual / Regional (No Address),Hotlines,,,,,1.855.581.8111,"Immediate, confidential support available 24/7 via phone, text, or web-based video chat for individuals navigating gambling challenges. Part of the Your Life Iowa service framework. Text Line: 855.895.8398.",https://yourlifeiowa.org/,
Genesis Youth Foundation,Physical Location,Immigrants & Refugees,2500 University Ave.,Des Moines,IA,50311.0,515.219.7428,"Delivers dedicated after-school programs for immigrant and refugee youths, offering targeted academic assistance across reading, writing, mathematics, science, language development, and the arts.",https://www.genesisyouthfoundation.org/,"2500 University Ave., Des Moines, IA 50311"
"Give Grace, Give Hope",Virtual / Regional (No Address),General Assistance,,Johnston,IA,50111.0,,"Supplies essential menstrual products to individuals experiencing barriers to regular product access, focused on reducing stigma and promoting community hygiene. Address listed as regional city-level fulfillment only.",https://www.givegracegivehope.org/,
Grace United Methodist Services,Physical Location,General Assistance,3700 Cottage Grove Avenue,Des Moines,IA,50311.0,515.255.2131,"Hosts a 24/7 open-access outdoor Community Fridge in the parking lot adjacent to the west garage. Provides a free community meal every Tuesday from 5 PM-7 PM, and runs a free walk-in medical clinic every Tuesday (Registration: 5 PM-7 PM; Patient hours: 5:30 PM-7:30 PM).",https://www.gracedesmoines.org/service,"3700 Cottage Grove Avenue, Des Moines, IA 50311"
Griefshare,Physical Location,Grief,206 SW Walnut Street,Ankeny,IA,50023.0,515.964.4249,"Operates structured community grief support groups, including specialty sessions such as 'Death of a Spouse' and 'Surviving the Holidays'. Hosted at Ankeny United Methodist Church.",https://www.ankenyfirst.org/care,"206 SW Walnut Street, Ankeny, IA 50023"
Grieving with UnityPoint,Physical Location,Grief,11333 Aurora Ave.,Urbandale,IA,50322.0,515.557.3126,"Delivers comprehensive bereavement care, including individualized one-on-one grief counseling, telephonic support, therapeutic workshop series, memorial programming, and local resource coordination.",https://www.unitypoint.org/find-a-service/hospice-care/bereavement-support,"11333 Aurora Ave., Urbandale, IA 50322"
Grimes Food Pantry,Physical Location,Food Pantries,112 NE Ewing St.,Grimes,IA,50111.0,515.986.4191,Local food pantry and clothing closet servicing residents of Grimes. Requirements: Photo ID and a current rent or utility bill are mandatory to verify residency. Hours: Tuesday & Thursday 9 AM-12 PM; 1st & 2nd Tuesday of each month 5:30 PM-7:30 PM.,https://grimesstorehouse.com/food-pantry/,"112 NE Ewing St., Grimes, IA 50111"
Hansen House of Hospitality,Physical Location,Shelters,1521 6th Avenue,Des Moines,IA,50314.0,515.282.0549,Provides temporary shelter and reintegration support for 10 men transitioning from prison back into the community.,,"1521 6th Avenue, Des Moines, IA 50314"
Harbor of Hope Recovery House,Physical Location,Substance Abuse,3650 Cottage Grove Ave.,Des Moines,IA,50311.0,515.244.0370,"Provides men coming from prison, jail, treatment, or other correctional programs with access and information to community resources while supplying safe, adequate transitional housing.",http://harborofhopeiowa.com,"3650 Cottage Grove Ave., Des Moines, IA 50311"
Harm Reduction Kits (Polk County Health Dept.),Physical Location,General Assistance,1907 Carpenter Ave.,Des Moines,IA,50314.0,515-286-3798,"Features a free vending machine with harm reduction supplies located at the Polk County Health Department. Also coordinates a 24/7 open-access lock box at River Place (2309 Euclid Ave, Des Moines, IA 50314; Lock Box Code: 185 036) containing free kits for cleaning needles and syringes, Sharps containers, and hygiene packs with soap, toothbrushes, and period products.",https://www.polkcountyiowa.gov/health-department/services-and-programs/harm-red...,"1907 Carpenter Ave., Des Moines, IA 50314"
Harvest Academy,Physical Location,Substance Abuse,8769 G24 Hwy,Indianola,IA,50125.0,515.901.8714,"A comprehensive, minimum two-year residential life skills and community program designed to help individuals reshape attitudes, behaviors, and values. Apply via phone or online form.",https://harvestacademyiowa.com/,"8769 G24 Hwy, Indianola, IA 50125"
Hearing Impaired Tax Assistance,Virtual / Regional (No Address),Legal Assistance,,,,,1.800.829.4059,Dedicated telephonic assistance from the IRS for deaf or hard of hearing individuals utilizing TTY/TDD equipment to ask tax questions or order free IRS forms and publications.,https://www.irs.gov/taxtopics/tc102,
Heart and Solutions,Virtual / Regional (No Address),Mental Health,,,,,800.531.4236,"Offers behavioral health intervention services (BHIS) for children ages 4-18 and counseling/therapy services for all ages, including secure telehealth options. Services are completely free to children with Medicaid.",https://heartandsolutions.net/,
Highland Park Christian Church,Physical Location,General Assistance,4260 NW 6th Drive,Des Moines,IA,50313.0,515.244.3182,"Hosts a free weekly community meal every Thursday from 5 PM-6 PM with no cost and no agenda. Also operates a free clothing closet featuring an assortment of gently used items on Mondays and Fridays from 10 AM-12 PM, and the first Thursday of the month from 4 PM-6 PM.",http://www.hpchristiandsm.org/?pageid=11,"4260 NW 6th Drive, Des Moines, IA 50313"
Home Inc.,Physical Location,General Assistance,1618 6th Ave.,Des Moines,IA,50314.0,515.243.1277,"Offers structured assistance programs for local homeowners who need to make necessary, essential property repairs to keep their living spaces safe and habitable.",https://www.homeincdsm.org/,"1618 6th Ave., Des Moines, IA 50314"
Honest Journey Sober Living,Physical Location,Temporary Housing,3442 57th Street,Des Moines,IA,50310.0,515.219.4911,Transitional sober living housing and supportive environments tailored for men.,https://soberlivingiowa.com/,"3442 57th Street, Des Moines, IA 50310"
Hope Center for Women and Children/Life Recovery Programs,Physical Location,Shelters,3800 E. Douglas Ave.,Pleasant Hill,IA,50317.0,515.264.0144,"Features the Hope Center for Women and Children, a 2-year residential life recovery program for mothers experiencing homelessness and their kids. Also provides free, long-term Life Recovery Programs for single men, single women, and mothers with children to address the root causes of chronic poverty, addiction, and housing instability. Operated by Hope Ministries.",https://www.hopeiowa.org/,"3800 E. Douglas Ave., Pleasant Hill, IA 50317"
Hope+Elim,Physical Location,Food Pantries,2500 University Ave.,Des Moines,IA,50311.0,515.282.4481,Serves a free weekly hot community meal every Wednesday evening from 5 PM-6:30 PM.,https://www.lutheranchurchofhope.org/hope-elim/,"2500 University Ave., Des Moines, IA 50311"
Hospice Care at UnityPoint at Home,Physical Location,Mental Health,11333 Aurora Avenue,Urbandale,IA,50322.0,515.557.3126,"Delivers comprehensive hospice care for individuals of all age brackets and medical diagnoses facing the final stages of life, specializing in routine home care, respite support, or inpatient placement. Features the 12-bed Taylor Hospice House facility with an RN on duty 24/7.",https://www.unitypoint.org/find-a-service/hospice-care,"11333 Aurora Avenue, Urbandale, IA 50322"
House of Mercy Des Moines,Physical Location,Substance Abuse,1409 Clark Street,Des Moines,IA,50314.0,515.643.6500,"Offers integrated substance-related/addictive disorders treatment and mental health programs. Also provides supportive transitional housing for sober living to improve long-term functioning in a clean, affordable environment. Intake Hours: Monday-Friday 9 AM-2 PM (Office open until 6 PM).",https://www.mercyone.org/desmoines/house-of-mercy/,"1409 Clark Street, Des Moines, IA 50314"
IHYC Youth Opportunity Center,Physical Location,Shelters,612 Locust Street,Des Moines,IA,50309.0,515.883.2379,"Iowa Homeless Youth Centers facility providing crisis counseling, service referrals, staff support, showers, laundry facilities, a phone charging station, and donation closet access for unhoused youth. Offers nine low-barrier, single-bed residential units for youth ages 18-24. Center Hours: Mon-Fri 10 AM-6 PM. Weekday Meals: Free hot lunch (12 PM-1 PM) and dinner (5 PM-6 PM) served to at-risk and homeless youth ages 16-22.",https://www.yss.org/locations/ihyc/,"612 Locust Street, Des Moines, IA 50309"
IMPACT Community Action Partnership,Physical Location,General Assistance,3226 University Avenue,Des Moines,IA,50311.0,515.518.4770,"Helps lower-income families stabilize basic needs through utility bill payments, seasonal heating assistance (November-April), emergency food assistance, personal hygiene supplies, and disaster recovery support. Hours: Mon/Tue/Thu/Fri 8 AM-4:30 PM, Wed 9:30 AM-4:30 PM.",https://www.impactcap.org/,"3226 University Avenue, Des Moines, IA 50311"
IMPACT Community Action Partnership (Ankeny DMARC),Physical Location,Food Pantries,641 S. Ankeny Blvd,Ankeny,IA,50023.0,515.518.4770,"Ankeny community action site providing individuals and families up to three days' worth of free emergency food in partnership with DMARC. Hours: Mon/Tue/Thu/Fri 8 AM-4:30 PM, Wed 9:30 AM-4:30 PM.",http://dmarcunited.org/food,"641 S. Ankeny Blvd, Ankeny, IA 50023"
International Rescue Committee,Physical Location,Immigrants & Refugees,1111 9th St. #226,Des Moines,IA,50314.0,515.216.3619,"Delivers holistic case management, immediate housing placement assistance, employment service connections, and health/wellness navigations to newly resettling refugee individuals and families.",https://rescue.org/united-states/des-moines-ia,"1111 9th St. #226, Des Moines, IA 50314"
Iowa Domestic Violence Hotline,Virtual / Regional (No Address),Hotlines,,,,,1.800.770.1650,"Certified domestic violence advocates available 24/7 to deliver immediate crisis support, safety planning, and resource routing for victims across the state.",,
Iowa Aftercare Services Network,Virtual / Regional (No Address),General Assistance,,,,,800.447.1985,"Helps young adults ages 17-23 navigate the transition to independent adulthood after aging out of foster care or court-ordered placements. Provides life skills training, financial aid, educational planning, and connections to dedicated supportive adults. Reach out via phone or email (info@aftercare).",https://iowaaftercare.org/,
Iowa Attorney General's Office,Physical Location,Legal Assistance,1305 E. Walnut Street,Des Moines,IA,50319.0,"1.888.777.4590, 515.281.5926","The Consumer Protection Division protects the public from financial fraud, systemic deception, and unfair business practices. Hours: Monday-Friday 8 AM-4:30 PM.",http://www.iowaattorneygeneral.gov/,"1305 E. Walnut Street, Des Moines, IA 50319"
Iowa Bureau of Refugee Services,Physical Location,Immigrants & Refugees,321 E 12th St.,Des Moines,IA,50319.0,515.344.3675,"Assists regional refugees and asylees in establishing long-term economic independence. Helps navigate state benefits, coordinates a specialized CDL commercial driving training track through DMACC, and runs tailored language workshops for English language learners. Hours: Monday-Friday 8 AM-4:30 PM.",https://hhs.iowa.gov/programs/programs-and-services/refugee-services,"321 E 12th St., Des Moines, IA 50319"
Iowa Center for Economic Success,Physical Location,Job Assistance,2222 Grand Ave.,Des Moines,IA,50312.0,,Hosts free VITA program tax preparation services alongside broader regional small business training and asset-building initiatives. View website for updated seasonal site listings and direct appointment scheduling.,https://theiowacenter.org/taxservices/,"2222 Grand Ave., Des Moines, IA 50312"
Iowa Coalition Against Domestic Violence,Virtual / Regional (No Address),Legal Assistance,,,,,515.244.8028,"Provides holistic legal representation, system advocacy, and civil rights resources to survivors of domestic violence across Iowa. Administrative hours: Monday-Friday 8 AM-4:30 PM.",http://www.icadv.org/,
Iowa Compass,Virtual / Regional (No Address),Disabilities,"100 Hawkins Drive, #221",Iowa City,IA,52242.0,1.800.779.2001,"Maintains a searchable statewide information and referral clearinghouse containing thousands of localized programs for older adults, individuals with complex medical conditions, and people with disabilities. Map layer designated as regional due to its primary role as an online resource database and its physical location outside the immediate Des Moines metro. Hours: Monday-Friday 8 AM-4:30 PM.",https://iowacompass.org/,
Iowa Concern Hotline,Virtual / Regional (No Address),Hotlines,,,,,1.800.447.1985,"Provides 24/7 access to stress counselors, legal education, and wide-ranging information/referral services for Iowans.",https://www.extension.iastate.edu/iowaconcern/,
Iowa Department of Revenue,Virtual / Regional (No Address),General Assistance,,,,,515.281.3114,Assists with state income tax questions and form access.,https://revenue.iowa.gov/,
Iowa Family Support Network,Physical Location,Disabilities,3000 Easton Boulevard,Des Moines,IA,50317.0,888.425.4371,"Offers services for families with children with disabilities, including the 'Children At Home' program which provides financial support for assistive items not covered by other programs.",https://www.iafamilysupportnetwork.org/,"3000 Easton Boulevard, Des Moines, IA 50317"
Iowa Free Legal Answers,Virtual / Regional (No Address),Legal Assistance,,,,,,"Virtual walk-in legal clinic connecting qualified individuals with Iowa attorneys for free, limited, non-criminal legal assistance.",https://iowa.freelegalanswers.org/,
Iowa Harm Reduction Coalition,Physical Location,Substance Abuse,1221 Center St. Suite 03,Des Moines,IA,50309.0,515.207.5202,"Offers risk reduction kits, naloxone kits, syringe clean-up/disposal, rapid HIV/HCV testing, fentanyl test strips, and linkages to substance use treatment.",https://www.iowaharmreductioncoalition.org/,"1221 Center St. Suite 03, Des Moines, IA 50309"
Iowa Legal Aid,Physical Location,Legal Assistance,666 Walnut St Floor 25,Des Moines,IA,50309.0,"1.800.532.1275, 1.800.532.1503","Provides free civil legal assistance for income-eligible clients. Includes a dedicated Legal Hotline for Older Iowans (1.800.992.8161) and specialized assistance for immigrants regarding rights, housing, and food/health matters.",https://www.iowalegalaid.org/,"666 Walnut St Floor 25, Des Moines, IA 50309"
Iowa Migrant Movement for Justice,Physical Location,Immigrants & Refugees,,Des Moines,IA,,515.255.9809,Provides low-income immigrants and refugees a safe space to seek free legal assistance for naturalization and immigration-related issues. Hours: Mon-Thu 9 AM-4:30 PM.,https://www.iowammj.org/,
Iowa Narcotics Anonymous,Physical Location,Substance Abuse,4424 Fleur Dr. #107,Des Moines,IA,50321.0,800.897.6242,Nonprofit fellowship for individuals for whom drugs have become a major problem.,https://iowa-na.org/,"4424 Fleur Dr. #107, Des Moines, IA 50321"
Iowa Office of Civil Rights,Physical Location,Legal Assistance,"6200 Park Avenue, Suite 100",Des Moines,IA,50321.0,515.281.4121,"Conducts impartial, fact-driven investigative analyses of discrimination complaints filed within Iowa.",https://icrc.iowa.gov/,"6200 Park Avenue, Suite 100, Des Moines, IA 50321"
Iowa Ombudsman,Physical Location,General Assistance,1112 E Grand Ave,Des Moines,IA,50319.0,515.281.3592,"Independent, impartial agency serving as a resource for citizens to air grievances about state government. Hours: Monday-Friday 8 AM-4:30 PM.",https://www.legis.iowa.gov/Ombudsman/,"1112 E Grand Ave, Des Moines, IA 50319"
Iowa Safe At Home,Virtual / Regional (No Address),General Assistance,,,,,515.725.7233,"State-sponsored program supplying a confidential address for survivors of domestic violence, sexual abuse, stalking, and trafficking.",https://safeathome.iowa.gov/,
Iowa Sexual Abuse Hotline,Virtual / Regional (No Address),Hotlines,,,,,1.800.362.2178,24/7 information and referral service for survivors of sexual assault.,https://pcaiowa.org/prevention/sexual-abuse/,
Iowa SIDS Foundation,Physical Location,General Assistance,2963 100th Street Ste. 2,Urbandale,IA,50322.0,515.965.7655,Statewide non-profit health organization providing emotional support to SIDS and SUID families.,https://iowasids.org/,"2963 100th Street Ste. 2, Urbandale, IA 50322"
Iowa Spanish Helpline,Virtual / Regional (No Address),Hotlines,,,,,515.344.3936,Confidential help and information for the Spanish-speaking community in Iowa. Operated by the Office of Latino Affairs.,https://hhs.iowa.gov/contacts/iowa-spanish-helpline,
Iowa Victim Services Call Center,Virtual / Regional (No Address),Hotlines,,,,,1.800.770.1650,"Supports victims of domestic/sexual violence, elder abuse, trafficking, and homicide. Connects callers with local resources like shelters and lawyers.",https://www.survivorshelpline.org/,
IowaWORKS Center,Physical Location,Job Assistance,200 Army Post Road #44,Des Moines,IA,50315.0,515.281.9619,State agency providing employment services for job seekers. Hours: Mon-Fri 8 AM-4:30 PM (Wed 9 AM-4:30 PM).,https://workforce.iowa.gov/locations/iowaworks-des-moines,"200 Army Post Road #44, Des Moines, IA 50315"
Johnston Partnership Food Pantry,Physical Location,Food Pantries,"5870 Merle Hay Road, Suite C",Johnston,IA,50131.0,515.528.2379,"Provides up to three days worth of food for free. Hours: Tue/Thu/Sat 9 AM-1 PM, Tue 4 PM-6 PM. Arrive 15 minutes before closing for assistance.",https://www.johnstonpartnership.org/food-pantry,"5870 Merle Hay Road, Suite C, Johnston, IA 50131"
Joppa,Physical Location,Shelters,2326 Euclid Ave,Des Moines,IA,50310.0,515.288.5699,Provides assistance and supplies to homeless individuals and families. Hours: Tue-Fri 9 AM-4 PM.,http://www.joppa.org/,"2326 Euclid Ave, Des Moines, IA 50310"
Junior Achievement of Central Iowa,Physical Location,Education,6100 Grand Avenue,Des Moines,IA,50312.0,515.279.9602,"K-12 classroom outreach programs fostering work-readiness, entrepreneurship, and financial literacy.",https://www.juniorachievement.org/web/ja-centraliowa,"6100 Grand Avenue, Des Moines, IA 50312"
Kingdom Living,Physical Location,Substance Abuse,3120 SW 9th St.,Des Moines,IA,50315.0,,"Faith-based, structured sober living. Apply via email (admissions@kingdomlivingia.com).",https://www.kingdomlivingia.com/all-about-us,"3120 SW 9th St., Des Moines, IA 50315"
L.U.N.A. (Latinas Unidas Por Un Nuevo Amanecer),Physical Location,Immigrants & Refugees,"100 East Euclid, Suite 153",Des Moines,IA,50313.0,515.271.5060,Provides culturally-specific services to Latina victims of domestic violence and sexual assault.,https://www.lunaiowa.org/,"100 East Euclid, Suite 153, Des Moines, IA 50313"
Learning Disabilities Association of Iowa,Physical Location,Disabilities,"5665 Greendale Road, Suite D",Johnston,IA,50131.0,515.209.2290,"Support and resources for individuals with learning disabilities, parents, and educators.",https://ldaiowa.org/,"5665 Greendale Road, Suite D, Johnston, IA 50131"
LADOS (Life After Death of Spouse),Physical Location,Grief,3700 Cottage Grove,Des Moines,IA,50311.0,515.277.6969,Group for widowed persons meeting the second Sunday of each month at 7 PM to support each other through grief.,https://www.dmarcunited.org/services/lados/,"3700 Cottage Grove, Des Moines, IA 50311"
Link Associates,Physical Location,Disabilities,1452 29th Street,West Des Moines,IA,50266.0,515.262.8888,Non-profit organization providing services for individuals with intellectual disabilities and their families.,https://www.linkassociates.org/,"1452 29th Street, West Des Moines, IA 50266"
LULAC (League of United Latin American Citizens),Physical Location,Immigrants & Refugees,5714 SE 24th Ct.,Des Moines,IA,50320.0,515.208.7312,"Sponsors Hispanic cultural/political events, provides college scholarships, and assists with income tax preparation and immigration/naturalization paperwork for families of undocumented immigrants.",https://www.latinovoteiowa.org/,"5714 SE 24th Ct., Des Moines, IA 50320"
Lutheran Services of Iowa (Refugee Center),Physical Location,Immigrants & Refugees,3116 University Avenue,Des Moines,IA,50311.0,"515.271.7411, 515.274.4946, 515.271.7335","Collaborates with former refugees on citizenship education, US Citizenship exam prep, English/civics test prep, and interview coaching. Offers specialized programs for Elder Refugees and Refugee Child Care.",https://lsiowa.org/,"3116 University Avenue, Des Moines, IA 50311"
Lutheran Services of Iowa (Mental Health),Physical Location,Mental Health,3125 Cottage Grove Ave.,Des Moines,IA,50311.0,515.271.7411,"Provides a range of therapy services, including cognitive behavioral therapy, and group/individual family counseling.",https://lsiowa.org/,"3125 Cottage Grove Ave., Des Moines, IA 50311"
Meals on Wheels (WesleyLife),Virtual / Regional (No Address),Food Pantries,,,,,515.298.5661,"Delivers meals to individuals with low-mobility. Serves all ages, with limited funding available for adults 60+ and adults with disabilities.",https://www.wesleylife.org/meals-on-wheels,
Mercy Behavioral Health Adult Services,Physical Location,Mental Health,1450 NW 114th Street,Clive,IA,50325.0,844.680.0504,"Multidisciplinary behavioral health team coordinating treatment with medical care. Emergency Care available 24/7 at 1111 6th Ave, Des Moines.",https://www.mercyone.org/desmoines/services/behavioral-health-care,"1450 NW 114th Street, Clive, IA 50325"
Mercy Hospice Bereavement Services,Physical Location,Grief,500 SW 7th Street Ste. 104,Des Moines,IA,50309.0,515.643.8400,"Offers individual counseling, support groups, informational resources, and remembrance events for those grieving.",https://www.mercyonehomecarehospice.org/bereavement-support,"500 SW 7th Street Ste. 104, Des Moines, IA 50309"
Mercy Ministry Food Pantry,Physical Location,Food Pantries,1451 E 25th Street,Des Moines,IA,50317.0,515.265.6000,Food pantry open Tuesday and Thursday mornings by appointment only. Call to schedule.,https://www.dsmeastside.org/?subpages/food%20pantry.shtml,"1451 E 25th Street, Des Moines, IA 50317"
Mind & Spirit Counseling Center,Physical Location,Mental Health,8553 Urbandale Avenue,Urbandale,IA,50322.0,515.274.4006,"Provides counseling for grief, anxiety, depression, stress, relationships, and spiritual matters. Offers innovative services for children and adolescents.",https://mindspiritcenter.org/,"8553 Urbandale Avenue, Urbandale, IA 50322"
MindSpring Mental Health Alliance,Physical Location,Mental Health,"511 East 6th Street, Suite B",Des Moines,IA,50309.0,515.850.1467,"Grassroots education, support, and advocacy organization focused on improving the lives of individuals impacted by mental health challenges.",https://mindspringhealth.org/,"511 East 6th Street, Suite B, Des Moines, IA 50309"
Mom's Meals,Virtual / Regional (No Address),General Assistance,,,,,1.877.508.6667,"Delivers meals to individuals managing chronic diseases, recuperating at home, or caring for loved ones. Hours: Mon-Fri 7 AM-6 PM.",https://www.momsmeals.com/,
Momentum Art Access,Physical Location,Disabilities,"900 Keosauqua Way, Studio #109+103",Des Moines,IA,50309.0,515.669.4821,Provides free art-making opportunities and education for individuals with disabilities. Sign up for appointments online.,https://teamcsa.org/our-services/momentum/studio/,"900 Keosauqua Way, Studio #109+103, Des Moines, IA 50309"
Monsoon,Physical Location,Immigrants & Refugees,4952 Franklin Ave.,Des Moines,IA,50310.0,515.288.0881,"Serves victims/survivors of domestic violence, sexual assault, and human trafficking in Asian and Pacific Islander communities. Provides free/confidential counseling, legal assistance, housing, and social services.",https://monsooniowa.org/,"4952 Franklin Ave., Des Moines, IA 50310"
Mosaic,Physical Location,Disabilities,11141 Aurora Ave. Bldg 3,Urbandale,IA,50322.0,515.246.1840,"Supports individuals with intellectual disabilities through housing, community support, healthcare coordination, job coaching, and immigration mental health evaluation.",https://www.mosaicinfo.org/locations/iowa/central-ia/,"11141 Aurora Ave. Bldg 3, Urbandale, IA 50322"
Mothers Against Drunk Driving (MADD) Iowa,Virtual / Regional (No Address),Hotlines,,,,,877.623.3435,Provides 24/7 emotional support and referrals to local community resources for those impacted by drunk driving.,https://www.madd.org/iowa/,
NAMI Helpline,Virtual / Regional (No Address),Hotlines,,,,,800.950.6264,"Free, confidential nationwide service providing one-on-one emotional support, mental health information, and resources.",https://www.nami.org/nami-helpline/,
National Elder Fraud Hotline,Virtual / Regional (No Address),Hotlines,,,,,833.372.8311,"Staffed by professionals to assist victims of elder fraud with reporting crimes and connecting to resources. Available M-F, 9 AM-5 PM CT.",https://ovc.ojp.gov/program/stop-elder-fraud/providing-help-restoring-hope,
National Human Trafficking Hotline,Virtual / Regional (No Address),Hotlines,,,,,1.888.373.7888,"24/7 hotline for victims, survivors, and anyone seeking information/assistance regarding human trafficking.",https://humantraffickinghotline.org/,
National Runaway Safeline,Virtual / Regional (No Address),Hotlines,,,,,1.800.786.2929,24/7 national communication system for runaway and homeless youth.,https://www.1800runaway.org/,
New Beginnings Community Food Closet,Physical Location,Food Pantries,8631 Hickman Road,Urbandale,IA,50322.0,515.255.2181,Community food closet accessible 24/7 off Patricia Drive. No forms or questions asked.,https://www.newbeginnings-cc.org/community-food-closet/,"8631 Hickman Road, Urbandale, IA 50322"
