name,layer,dmpl_category,address,city,state,zip,phone,toolkit_resources,web_link
"Franklin Avenue Library","Physical Location","Branch Locations","5000 Franklin Avenue","Des Moines","IA","50310","(515) 283-4152","In-Person Services: Monday-Thursday 9:00 AM-8:00 PM, Friday 9:00 AM-6:00 PM, Saturday 10:00 AM-5:00 PM, Sunday 12:00-4:00 PM. Drive-up Pickup Window Hours: Monday-Friday 10:00 AM-6:00 PM, Saturday 10:00 AM-5:00 PM. Drive-up Window Closed Sunday.","/locations-hours/franklin-avenue"
"Friendship Center","Physical Location","Community Centers","1526 Martin Luther King Jr Pkwy","Des Moines","IA","50311","515.244.1701","Faith-based center providing an on-site food pantry and a community clothes closet. Hosts 'The Washboard' mobile laundry program, providing direct laundry assistance and machine quarters (call or check Facebook to verify weekly mobile locations).","https://www.facebook.com/FriendshipCenterDSM/"
"Full Circle Recovery","Physical Location","Substance Abuse","4725 Merle Hay Road","Des Moines","IA","50322","515.783.6382","An independent, peer-led recovery community organization providing emotional, informational, and practical support structures for individuals and families impacted by substance use. Note: This is a peer-support network and not a clinical treatment provider.","https://recoverfullcircle.org/"
"Gambling Hotline","Virtual / Regional (No Address)","Hotlines","","","","","1.855.581.8111","Immediate, confidential support available 24/7 via phone, text, or web-based video chat for individuals navigating gambling challenges. Part of the Your Life Iowa service framework. Text Line: 855.895.8398.","https://yourlifeiowa.org/"
"Genesis Youth Foundation","Physical Location","Immigrants & Refugees","2500 University Ave.","Des Moines","IA","50311","515.219.7428","Delivers dedicated after-school programs for immigrant and refugee youths, offering targeted academic assistance across reading, writing, mathematics, science, language development, and the arts.","https://www.genesisyouthfoundation.org/"
"Give Grace, Give Hope","Virtual / Regional (No Address)","General Assistance","","Johnston","IA","50111","","Supplies essential menstrual products to individuals experiencing barriers to regular product access, focused on reducing stigma and promoting community hygiene. Address listed as regional city-level fulfillment only.","https://www.givegracegivehope.org/"
"Grace United Methodist Services","Physical Location","General Assistance","3700 Cottage Grove Avenue","Des Moines","IA","50311","515.255.2131","Hosts a 24/7 open-access outdoor Community Fridge in the parking lot adjacent to the west garage. Provides a free community meal every Tuesday from 5 PM-7 PM, and runs a free walk-in medical clinic every Tuesday (Registration: 5 PM-7 PM; Patient hours: 5:30 PM-7:30 PM).","https://www.gracedesmoines.org/service"
"Griefshare","Physical Location","Grief","206 SW Walnut Street","Ankeny","IA","50023","515.964.4249","Operates structured community grief support groups, including specialty sessions such as 'Death of a Spouse' and 'Surviving the Holidays'. Hosted at Ankeny United Methodist Church.","https://www.ankenyfirst.org/care"
"Grieving with UnityPoint","Physical Location","Grief","11333 Aurora Ave.","Urbandale","IA","50322","515.557.3126","Delivers comprehensive bereavement care, including individualized one-on-one grief counseling, telephonic support, therapeutic workshop series, memorial programming, and local resource coordination.","https://www.unitypoint.org/find-a-service/hospice-care/bereavement-support"
"Grimes Food Pantry","Physical Location","Food Pantries","112 NE Ewing St.","Grimes","IA","50111","515.986.4191","Local food pantry and clothing closet servicing residents of Grimes. Requirements: Photo ID and a current rent or utility bill are mandatory to verify residency. Hours: Tuesday & Thursday 9 AM-12 PM; 1st & 2nd Tuesday of each month 5:30 PM-7:30 PM.","https://grimesstorehouse.com/food-pantry/"
"Hansen House of Hospitality","Physical Location","Shelters","1521 6th Avenue","Des Moines","IA","50314","515.282.0549","Provides temporary shelter and reintegration support for 10 men transitioning from prison back into the community.",""
"Harbor of Hope Recovery House","Physical Location","Substance Abuse","3650 Cottage Grove Ave.","Des Moines","IA","50311","515.244.0370","Provides men coming from prison, jail, treatment, or other correctional programs with access and information to community resources while supplying safe, adequate transitional housing.","http://harborofhopeiowa.com"
"Harm Reduction Kits (Polk County Health Dept.)","Physical Location","General Assistance","1907 Carpenter Ave.","Des Moines","IA","50314","515-286-3798","Features a free vending machine with harm reduction supplies located at the Polk County Health Department. Also coordinates a 24/7 open-access lock box at River Place (2309 Euclid Ave, Des Moines, IA 50314; Lock Box Code: 185 036) containing free kits for cleaning needles and syringes, Sharps containers, and hygiene packs with soap, toothbrushes, and period products.","https://www.polkcountyiowa.gov/health-department/services-and-programs/harm-red..."
"Harvest Academy","Physical Location","Substance Abuse","8769 G24 Hwy","Indianola","IA","50125","515.901.8714","A comprehensive, minimum two-year residential life skills and community program designed to help individuals reshape attitudes, behaviors, and values. Apply via phone or online form.","https://harvestacademyiowa.com/"
"Hearing Impaired Tax Assistance","Virtual / Regional (No Address)","Legal Assistance","","","","","1.800.829.4059","Dedicated telephonic assistance from the IRS for deaf or hard of hearing individuals utilizing TTY/TDD equipment to ask tax questions or order free IRS forms and publications.","https://www.irs.gov/taxtopics/tc102"
"Heart and Solutions","Virtual / Regional (No Address)","Mental Health","","","","","800.531.4236","Offers behavioral health intervention services (BHIS) for children ages 4-18 and counseling/therapy services for all ages, including secure telehealth options. Services are completely free to children with Medicaid.","https://heartandsolutions.net/"
"Highland Park Christian Church","Physical Location","General Assistance","4260 NW 6th Drive","Des Moines","IA","50313","515.244.3182","Hosts a free weekly community meal every Thursday from 5 PM-6 PM with no cost and no agenda. Also operates a free clothing closet featuring an assortment of gently used items on Mondays and Fridays from 10 AM-12 PM, and the first Thursday of the month from 4 PM-6 PM.","http://www.hpchristiandsm.org/?pageid=11"
"Home Inc.","Physical Location","General Assistance","1618 6th Ave.","Des Moines","IA","50314","515.243.1277","Offers structured assistance programs for local homeowners who need to make necessary, essential property repairs to keep their living spaces safe and habitable.","https://www.homeincdsm.org/"
"Honest Journey Sober Living","Physical Location","Temporary Housing","3442 57th Street","Des Moines","IA","50310","515.219.4911","Transitional sober living housing and supportive environments tailored for men.","https://soberlivingiowa.com/"
"Hope Center for Women and Children/Life Recovery Programs","Physical Location","Shelters","3800 E. Douglas Ave.","Pleasant Hill","IA","50317","515.264.0144","Features the Hope Center for Women and Children, a 2-year residential life recovery program for mothers experiencing homelessness and their kids. Also provides free, long-term Life Recovery Programs for single men, single women, and mothers with children to address the root causes of chronic poverty, addiction, and housing instability. Operated by Hope Ministries.","https://www.hopeiowa.org/"
"Hope+Elim","Physical Location","Food Pantries","2500 University Ave.","Des Moines","IA","50311","515.282.4481","Serves a free weekly hot community meal every Wednesday evening from 5 PM-6:30 PM.","https://www.lutheranchurchofhope.org/hope-elim/"
"Hospice Care at UnityPoint at Home","Physical Location","Mental Health","11333 Aurora Avenue","Urbandale","IA","50322","515.557.3126","Delivers comprehensive hospice care for individuals of all age brackets and medical diagnoses facing the final stages of life, specializing in routine home care, respite support, or inpatient placement. Features the 12-bed Taylor Hospice House facility with an RN on duty 24/7.","https://www.unitypoint.org/find-a-service/hospice-care"
"House of Mercy Des Moines","Physical Location","Substance Abuse","1409 Clark Street","Des Moines","IA","50314","515.643.6500","Offers integrated substance-related/addictive disorders treatment and mental health programs. Also provides supportive transitional housing for sober living to improve long-term functioning in a clean, affordable environment. Intake Hours: Monday-Friday 9 AM-2 PM (Office open until 6 PM).","https://www.mercyone.org/desmoines/house-of-mercy/"
"IHYC Youth Opportunity Center","Physical Location","Shelters","612 Locust Street","Des Moines","IA","50309","515.883.2379","Iowa Homeless Youth Centers facility providing crisis counseling, service referrals, staff support, showers, laundry facilities, a phone charging station, and donation closet access for unhoused youth. Offers nine low-barrier, single-bed residential units for youth ages 18-24. Center Hours: Mon-Fri 10 AM-6 PM. Weekday Meals: Free hot lunch (12 PM-1 PM) and dinner (5 PM-6 PM) served to at-risk and homeless youth ages 16-22.","https://www.yss.org/locations/ihyc/"
"IMPACT Community Action Partnership","Physical Location","General Assistance","3226 University Avenue","Des Moines","IA","50311","515.518.4770","Helps lower-income families stabilize basic needs through utility bill payments, seasonal heating assistance (November-April), emergency food assistance, personal hygiene supplies, and disaster recovery support. Hours: Mon/Tue/Thu/Fri 8 AM-4:30 PM, Wed 9:30 AM-4:30 PM.","https://www.impactcap.org/"
"IMPACT Community Action Partnership (Ankeny DMARC)","Physical Location","Food Pantries","641 S. Ankeny Blvd","Ankeny","IA","50023","515.518.4770","Ankeny community action site providing individuals and families up to three days' worth of free emergency food in partnership with DMARC. Hours: Mon/Tue/Thu/Fri 8 AM-4:30 PM, Wed 9:30 AM-4:30 PM.","http://dmarcunited.org/food"
"International Rescue Committee","Physical Location","Immigrants & Refugees","1111 9th St. #226","Des Moines","IA","50314","515.216.3619","Delivers holistic case management, immediate housing placement assistance, employment service connections, and health/wellness navigations to newly resettling refugee individuals and families.","https://rescue.org/united-states/des-moines-ia"
"Iowa Domestic Violence Hotline","Virtual / Regional (No Address)","Hotlines","","","","","1.800.770.1650","Certified domestic violence advocates available 24/7 to deliver immediate crisis support, safety planning, and resource routing for victims across the state.",""
"Iowa Aftercare Services Network","Virtual / Regional (No Address)","General Assistance","","","","","800.447.1985","Helps young adults ages 17-23 navigate the transition to independent adulthood after aging out of foster care or court-ordered placements. Provides life skills training, financial aid, educational planning, and connections to dedicated supportive adults. Reach out via phone or email (info@aftercare).","https://iowaaftercare.org/"
"Iowa Attorney General's Office","Physical Location","Legal Assistance","1305 E. Walnut Street","Des Moines","IA","50319","1.888.777.4590, 515.281.5926","The Consumer Protection Division protects the public from financial fraud, systemic deception, and unfair business practices. Hours: Monday-Friday 8 AM-4:30 PM.","http://www.iowaattorneygeneral.gov/"
"Iowa Bureau of Refugee Services","Physical Location","Immigrants & Refugees","321 E 12th St.","Des Moines","IA","50319","515.344.3675","Assists regional refugees and asylees in establishing long-term economic independence. Helps navigate state benefits, coordinates a specialized CDL commercial driving training track through DMACC, and runs tailored language workshops for English language learners. Hours: Monday-Friday 8 AM-4:30 PM.","https://hhs.iowa.gov/programs/programs-and-services/refugee-services"
"Iowa Center for Economic Success","Physical Location","Job Assistance","2222 Grand Ave.","Des Moines","IA","50312","","Hosts free VITA program tax preparation services alongside broader regional small business training and asset-building initiatives. View website for updated seasonal site listings and direct appointment scheduling.","https://theiowacenter.org/taxservices/"
"Iowa Coalition Against Domestic Violence","Virtual / Regional (No Address)","Legal Assistance","","","","","515.244.8028","Provides holistic legal representation, system advocacy, and civil rights resources to survivors of domestic violence across Iowa. Administrative hours: Monday-Friday 8 AM-4:30 PM.","http://www.icadv.org/"
"Iowa Compass","Virtual / Regional (No Address)","Disabilities","100 Hawkins Drive, #221","Iowa City","IA","52242","1.800.779.2001","Maintains a searchable statewide information and referral clearinghouse containing thousands of localized programs for older adults, individuals with complex medical conditions, and people with disabilities. Map layer designated as regional due to its primary role as an online resource database and its physical location outside the immediate Des Moines metro. Hours: Monday-Friday 8 AM-4:30 PM.","https://iowacompass.org/"
"Iowa Concern Hotline","Virtual / Regional (No Address)","Hotlines","","","","","1.800.447.1985","Provides 24/7 access to stress counselors, legal education, and wide-ranging information/referral services for Iowans.","https://www.extension.iastate.edu/iowaconcern/"
"Iowa Department of Revenue","Virtual / Regional (No Address)","General Assistance","","","","","515.281.3114","Assists with state income tax questions and form access.","https://revenue.iowa.gov/"
"Iowa Family Support Network","Physical Location","Disabilities","3000 Easton Boulevard","Des Moines","IA","50317","888.425.4371","Offers services for families with children with disabilities, including the 'Children At Home' program which provides financial support for assistive items not covered by other programs.","https://www.iafamilysupportnetwork.org/"
"Iowa Free Legal Answers","Virtual / Regional (No Address)","Legal Assistance","","","","","","Virtual walk-in legal clinic connecting qualified individuals with Iowa attorneys for free, limited, non-criminal legal assistance.","https://iowa.freelegalanswers.org/"
"Iowa Harm Reduction Coalition","Physical Location","Substance Abuse","1221 Center St. Suite 03","Des Moines","IA","50309","515.207.5202","Offers risk reduction kits, naloxone kits, syringe clean-up/disposal, rapid HIV/HCV testing, fentanyl test strips, and linkages to substance use treatment.","https://www.iowaharmreductioncoalition.org/"
"Iowa Legal Aid","Physical Location","Legal Assistance","666 Walnut St Floor 25","Des Moines","IA","50309","1.800.532.1275, 1.800.532.1503","Provides free civil legal assistance for income-eligible clients. Includes a dedicated Legal Hotline for Older Iowans (1.800.992.8161) and specialized assistance for immigrants regarding rights, housing, and food/health matters.","https://www.iowalegalaid.org/"
"Iowa Migrant Movement for Justice","Physical Location","Immigrants & Refugees","","Des Moines","IA","","515.255.9809","Provides low-income immigrants and refugees a safe space to seek free legal assistance for naturalization and immigration-related issues. Hours: Mon-Thu 9 AM-4:30 PM.","https://www.iowammj.org/"
"Iowa Narcotics Anonymous","Physical Location","Substance Abuse","4424 Fleur Dr. #107","Des Moines","IA","50321","800.897.6242","Nonprofit fellowship for individuals for whom drugs have become a major problem.","https://iowa-na.org/"
"Iowa Office of Civil Rights","Physical Location","Legal Assistance","6200 Park Avenue, Suite 100","Des Moines","IA","50321","515.281.4121","Conducts impartial, fact-driven investigative analyses of discrimination complaints filed within Iowa.","https://icrc.iowa.gov/"
"Iowa Ombudsman","Physical Location","General Assistance","1112 E Grand Ave","Des Moines","IA","50319","515.281.3592","Independent, impartial agency serving as a resource for citizens to air grievances about state government. Hours: Monday-Friday 8 AM-4:30 PM.","https://www.legis.iowa.gov/Ombudsman/"
"Iowa Safe At Home","Virtual / Regional (No Address)","General Assistance","","","","","515.725.7233","State-sponsored program supplying a confidential address for survivors of domestic violence, sexual abuse, stalking, and trafficking.","https://safeathome.iowa.gov/"
"Iowa Sexual Abuse Hotline","Virtual / Regional (No Address)","Hotlines","","","","","1.800.362.2178","24/7 information and referral service for survivors of sexual assault.","https://pcaiowa.org/prevention/sexual-abuse/"
"Iowa SIDS Foundation","Physical Location","General Assistance","2963 100th Street Ste. 2","Urbandale","IA","50322","515.965.7655","Statewide non-profit health organization providing emotional support to SIDS and SUID families.","https://iowasids.org/"
"Iowa Spanish Helpline","Virtual / Regional (No Address)","Hotlines","","","","","515.344.3936","Confidential help and information for the Spanish-speaking community in Iowa. Operated by the Office of Latino Affairs.","https://hhs.iowa.gov/contacts/iowa-spanish-helpline"
"Iowa Victim Services Call Center","Virtual / Regional (No Address)","Hotlines","","","","","1.800.770.1650","Supports victims of domestic/sexual violence, elder abuse, trafficking, and homicide. Connects callers with local resources like shelters and lawyers.","https://www.survivorshelpline.org/"
"IowaWORKS Center","Physical Location","Job Assistance","200 Army Post Road #44","Des Moines","IA","50315","515.281.9619","State agency providing employment services for job seekers. Hours: Mon-Fri 8 AM-4:30 PM (Wed 9 AM-4:30 PM).","https://workforce.iowa.gov/locations/iowaworks-des-moines"
"Johnston Partnership Food Pantry","Physical Location","Food Pantries","5870 Merle Hay Road, Suite C","Johnston","IA","50131","515.528.2379","Provides up to three days worth of food for free. Hours: Tue/Thu/Sat 9 AM-1 PM, Tue 4 PM-6 PM. Arrive 15 minutes before closing for assistance.","https://www.johnstonpartnership.org/food-pantry"
"Joppa","Physical Location","Shelters","2326 Euclid Ave","Des Moines","IA","50310","515.288.5699","Provides assistance and supplies to homeless individuals and families. Hours: Tue-Fri 9 AM-4 PM.","http://www.joppa.org/"
"Junior Achievement of Central Iowa","Physical Location","Education","6100 Grand Avenue","Des Moines","IA","50312","515.279.9602","K-12 classroom outreach programs fostering work-readiness, entrepreneurship, and financial literacy.","https://www.juniorachievement.org/web/ja-centraliowa"
"Kingdom Living","Physical Location","Substance Abuse","3120 SW 9th St.","Des Moines","IA","50315","","Faith-based, structured sober living. Apply via email (admissions@kingdomlivingia.com).","https://www.kingdomlivingia.com/all-about-us"
"L.U.N.A. (Latinas Unidas Por Un Nuevo Amanecer)","Physical Location","Immigrants & Refugees","100 East Euclid, Suite 153","Des Moines","IA","50313","515.271.5060","Provides culturally-specific services to Latina victims of domestic violence and sexual assault.","https://www.lunaiowa.org/"
"Learning Disabilities Association of Iowa","Physical Location","Disabilities","5665 Greendale Road, Suite D","Johnston","IA","50131","515.209.2290","Support and resources for individuals with learning disabilities, parents, and educators.","https://ldaiowa.org/"
"LADOS (Life After Death of Spouse)","Physical Location","Grief","3700 Cottage Grove","Des Moines","IA","50311","515.277.6969","Group for widowed persons meeting the second Sunday of each month at 7 PM to support each other through grief.","https://www.dmarcunited.org/services/lados/"
"Link Associates","Physical Location","Disabilities","1452 29th Street","West Des Moines","IA","50266","515.262.8888","Non-profit organization providing services for individuals with intellectual disabilities and their families.","https://www.linkassociates.org/"
"LULAC (League of United Latin American Citizens)","Physical Location","Immigrants & Refugees","5714 SE 24th Ct.","Des Moines","IA","50320","515.208.7312","Sponsors Hispanic cultural/political events, provides college scholarships, and assists with income tax preparation and immigration/naturalization paperwork for families of undocumented immigrants.","https://www.latinovoteiowa.org/"
"Lutheran Services of Iowa (Refugee Center)","Physical Location","Immigrants & Refugees","3116 University Avenue","Des Moines","IA","50311","515.271.7411, 515.274.4946, 515.271.7335","Collaborates with former refugees on citizenship education, US Citizenship exam prep, English/civics test prep, and interview coaching. Offers specialized programs for Elder Refugees and Refugee Child Care.","https://lsiowa.org/"
"Lutheran Services of Iowa (Mental Health)","Physical Location","Mental Health","3125 Cottage Grove Ave.","Des Moines","IA","50311","515.271.7411","Provides a range of therapy services, including cognitive behavioral therapy, and group/individual family counseling.","https://lsiowa.org/"
"Meals on Wheels (WesleyLife)","Virtual / Regional (No Address)","Food Pantries","","","","","515.298.5661","Delivers meals to individuals with low-mobility. Serves all ages, with limited funding available for adults 60+ and adults with disabilities.","https://www.wesleylife.org/meals-on-wheels"
"Mercy Behavioral Health Adult Services","Physical Location","Mental Health","1450 NW 114th Street","Clive","IA","50325","844.680.0504","Multidisciplinary behavioral health team coordinating treatment with medical care. Emergency Care available 24/7 at 1111 6th Ave, Des Moines.","https://www.mercyone.org/desmoines/services/behavioral-health-care"
"Mercy Hospice Bereavement Services","Physical Location","Grief","500 SW 7th Street Ste. 104","Des Moines","IA","50309","515.643.8400","Offers individual counseling, support groups, informational resources, and remembrance events for those grieving.","https://www.mercyonehomecarehospice.org/bereavement-support"
"Mercy Ministry Food Pantry","Physical Location","Food Pantries","1451 E 25th Street","Des Moines","IA","50317","515.265.6000","Food pantry open Tuesday and Thursday mornings by appointment only. Call to schedule.","https://www.dsmeastside.org/?subpages/food%20pantry.shtml"
"Mind & Spirit Counseling Center","Physical Location","Mental Health","8553 Urbandale Avenue","Urbandale","IA","50322","515.274.4006","Provides counseling for grief, anxiety, depression, stress, relationships, and spiritual matters. Offers innovative services for children and adolescents.","https://mindspiritcenter.org/"
"MindSpring Mental Health Alliance","Physical Location","Mental Health","511 East 6th Street, Suite B","Des Moines","IA","50309","515.850.1467","Grassroots education, support, and advocacy organization focused on improving the lives of individuals impacted by mental health challenges.","https://mindspringhealth.org/"
"Mom's Meals","Virtual / Regional (No Address)","General Assistance","","","","","1.877.508.6667","Delivers meals to individuals managing chronic diseases, recuperating at home, or caring for loved ones. Hours: Mon-Fri 7 AM-6 PM.","https://www.momsmeals.com/"
"Momentum Art Access","Physical Location","Disabilities","900 Keosauqua Way, Studio #109+103","Des Moines","IA","50309","515.669.4821","Provides free art-making opportunities and education for individuals with disabilities. Sign up for appointments online.","https://teamcsa.org/our-services/momentum/studio/"
"Monsoon","Physical Location","Immigrants & Refugees","4952 Franklin Ave.","Des Moines","IA","50310","515.288.0881","Serves victims/survivors of domestic violence, sexual assault, and human trafficking in Asian and Pacific Islander communities. Provides free/confidential counseling, legal assistance, housing, and social services.","https://monsooniowa.org/"
"Mosaic","Physical Location","Disabilities","11141 Aurora Ave. Bldg 3","Urbandale","IA","50322","515.246.1840","Supports individuals with intellectual disabilities through housing, community support, healthcare coordination, job coaching, and immigration mental health evaluation.","https://www.mosaicinfo.org/locations/iowa/central-ia/"
"Mothers Against Drunk Driving (MADD) Iowa","Virtual / Regional (No Address)","Hotlines","","","","","877.623.3435","Provides 24/7 emotional support and referrals to local community resources for those impacted by drunk driving.","https://www.madd.org/iowa/"
"NAMI Helpline","Virtual / Regional (No Address)","Hotlines","","","","","800.950.6264","Free, confidential nationwide service providing one-on-one emotional support, mental health information, and resources.","https://www.nami.org/nami-helpline/"
"National Elder Fraud Hotline","Virtual / Regional (No Address)","Hotlines","","","","","833.372.8311","Staffed by professionals to assist victims of elder fraud with reporting crimes and connecting to resources. Available M-F, 9 AM-5 PM CT.","https://ovc.ojp.gov/program/stop-elder-fraud/providing-help-restoring-hope"
"National Human Trafficking Hotline","Virtual / Regional (No Address)","Hotlines","","","","","1.888.373.7888","24/7 hotline for victims, survivors, and anyone seeking information/assistance regarding human trafficking.","https://humantraffickinghotline.org/"
"National Runaway Safeline","Virtual / Regional (No Address)","Hotlines","","","","","1.800.786.2929","24/7 national communication system for runaway and homeless youth.","https://www.1800runaway.org/"
"New Beginnings Community Food Closet","Physical Location","Food Pantries","8631 Hickman Road","Urbandale","IA","50322","515.255.2181","Community food closet accessible 24/7 off Patricia Drive. No forms or questions asked.","https://www.newbeginnings-cc.org/community-food-closet/"
"Nisaa African Family Services","Physical Location","Immigrants & Refugees","4944 Franklin Ave. Suite P","Des Moines","IA","50310","515.255.5430","Provides gender-based violence services for African populations, including legal/immigration referrals, counseling, housing, employment assistance, and medical advocacy.","https://nisaa-afs.org/"
"North Des Moines Community Fridge","Physical Location","General Assistance","5720 Urbandale Ave.","Des Moines","IA","50310","515.255.2101","Community fridge accessible 24/7 in the shed next to the church.","https://www.standrewsdsm.org/north-des-moines-community-fridge"
"North Side Library","Physical Location","Branch Locations","3516 Fifth Avenue","Des Moines","IA","50313","(515) 283-4152","Library services available: Mon-Thu 10 AM-8 PM, Fri 10 AM-6 PM, Sat 10 AM-5 PM. Closed Sunday.","/locations-hours/north-side"
"Northside Community Center","Physical Location","Community Centers","3010 6th Avenue","Des Moines","IA","50313","515.288.1524","Offers crafts, games, exercise, and health clinics for seniors and adults. Meals served 11 AM-12:30 PM on selected days.","https://www.polkcountyiowa.gov/community-family-youth-services/senior-services/..."
"Northwest Community Center","Physical Location","Community Centers","5110 Franklin Avenue","Des Moines","IA","50310","515.279.2767","Offers crafts, games, exercise, and health clinics for seniors and adults. Meals served 11 AM-12:30 PM on selected days.","https://www.polkcountyiowa.gov/community-family-youth-services/senior-services/..."
"Norwoodville Community Center","Physical Location","Community Centers","3077 Ν.Ε. 46th Avenue","Des Moines","IA","50317","515.266.5794","Activities including crafts, games, exercise, health clinics, and congregate meals (11 AM-12:30 PM). Hours: Mon-Fri 8 AM-4:30 PM.","https://www.polkcountyiowa.gov/community-family-youth-services/senior-services/..."
"Oakridge Neighborhood Inc.","Physical Location","General Assistance","1401 Center St.","Des Moines","IA","50314","515.244.7702","Offers youth programs (learning/school success), and family/workforce development (job readiness, ELL, citizenship, computer skills, parenting). Serves low-income and refugee families.","https://oakridgeneighborhood.org/youth-and-education/"
"Optimae Behavioral Health Services","Physical Location","Mental Health","600 East Court Avenue, Suite 200","Des Moines","IA","50309","515.243.3525","Provides therapy, psychiatric medication evaluation, and skill-building supports in-person and via telehealth. Discounts based on family size/income.","https://optimaelifeservices.com/our-services/behavioral-health/"
"Orchard Place / PACE Center","Physical Location","Mental Health","620 8th St.","Des Moines","IA","50309","515.697.5700 (Substance Abuse), 515.285.6781 (Mental Health)","Services for children age 18 and under for mental health and substance abuse issues. Also offers childcare resources and referrals.","https://orchardplace.org/"
"PEER Advocate Program","Virtual / Regional (No Address)","General Assistance","","","","","515.286.2112","Support for Polk County residents age 60+ to access housing, health care, insurance, nutrition, cleaning, yard work, transportation, and legal aid.","https://www.polkcountyiowa.gov/community-family-youth-services/community-and-fa"
"People's Law Library of Iowa","Virtual / Regional (No Address)","Legal Assistance","","","","","","Easy-to-understand website providing basic, introductory information about the law. Not legal advice or a replacement for a lawyer.","https://www.peopleslawiowa.org/"
"Pioneer Columbus Community Center","Physical Location","Community Centers","2100 SE 5th Street","Des Moines","IA","50315","515-248-6316","Activities including weight room, cardio area, computer lab, and Polk County congregate meals. Hours: 8 AM-7:45 PM.","https://www.dsm.city/Pioneer Columbus Community Recreation Center334.php"
"Polk County Adult Services","Physical Location","Disabilities","2309 Euclid Avenue","Des Moines","IA","50310","515.286.3484","Assists low-income disabled citizens (18+) with transportation, meals on wheels, and protective payee financial counseling.","https://www.polkcountyiowa.gov/community-family-youth-services/senior-services/..."
"Polk County Bar Association (Volunteer Lawyers Project)","Physical Location","Legal Assistance","625 E Court Avenue, Suite 100","Des Moines","IA","50309","515.243.3904","Charitable organization providing civil legal services to low-income residents of Polk County.","https://www.pcbaonline.org/"
"Polk County Crisis and Advocacy Services","Physical Location","Mental Health","2309 Euclid Avenue","Des Moines","IA","50310","515.286.3600","Crisis intervention and counseling for victims of assault/abuse. Offers support groups for suicide loss survivors and homicide survivors.","https://www.polkcountyiowa.gov/community-family-youth-services/community-and-fa..."
"Polk County Department of Human Services","Physical Location","General Assistance","321 E 12th St.","Des Moines","IA","50319","800.972.2017","Assists with food, childcare, and state supplementary programs.","https://dhs.iowa.gov/"
"Polk County Emergency Repair Program","Physical Location","General Assistance","5885 NE 14 Street","Des Moines","IA","50313","515.286.3356","Lifetime maximum repair benefit of up to $8,000 for eligible families in homes assessed for less than $95,000.","https://www.polkcountyiowa.gov/public-works/housing-services-division/emergency..."
"Polk County General Assistance","Physical Location","General Assistance","2309 Euclid Avenue","Des Moines","IA","50310","515.286.2088","Provides temporary financial assistance for basic services such as rent and utility assistance.","https://www.polkcountyiowa.gov/community-family-youth-services/community-and-fa/"
"Polk County Health Dept","Physical Location","General Assistance","1907 Carpenter Street","Des Moines","IA","50314","515.286.3798","Offers immunizations, TB tests, primary care services, women's health services, and STD testing. Hours: Mon-Fri 8 AM-4:30 PM.","https://www.polkcountyiowa.gov/health-department/"
"Polk County Life Services Center (Broadlawns Crisis Observation Center)","Physical Location","Mental Health","1914 Carpenter Ave","Des Moines","IA","50314","515.282.5742","24/7 walk-in mental health clinic and sobering center providing a safe environment to meet with a nurse/therapist and set up ongoing mental health appointments.","https://www.broadlawns.org/clinics-and-services/mental-health/broadlawns-at-polk-county-crisis-observation-center"
"Polk County Northside Food Pantry (DMARC)","Physical Location","Food Pantries","","Des Moines","IA","","","Provides food assistance in partnership with DMARC.",""
"Primary Health Care (Homeless Support Services)","Physical Location","Shelters","1200 University Avenue, Suite 110A","Des Moines","IA","50314","515.248.1850","Centralized Intake for homeless services in Polk County. Connects individuals/families to housing resources, benefits, and care. Walk-in only: Mon-Fri 8:00 AM-3:30 PM."
"Primary Health Care (B. Engebretsen Clinic)","Physical Location","General Assistance","2353 SE 14th Street","Des Moines","IA","50320","515.248.1400 (Med), 515.248.1470 (Dent)","Comprehensive medical, dental, and pharmacy services. Medical Hours: Tue/Thu/Fri 8 AM-5 PM, Mon/Wed 8 AM-8 PM. Dental: Mon-Fri 7:30 AM-5:30 PM."
"Primary Health Care (East Side Campus)","Physical Location","General Assistance","3509 E 29th Street","Des Moines","IA","50310","515.248.1600","Comprehensive medical, internal medicine, and specialty health services. Hours: Mon-Thu 8 AM-8 PM, Fri 8 AM-5 PM, Sat 9 AM-1 PM."
"Primary Health Care (Mercy)","Physical Location","General Assistance","","Des Moines","IA","","","Provides comprehensive family medicine, annual physicals, and specialized care."
"Project Iowa","Physical Location","Job Assistance","4801 Franklin Ave Room 106","Des Moines","IA","50309","515.280.1274","Provides free career training and employment placement services for individuals facing barriers to employment.","https://www.projectiowa.org/"
"Proteus","Physical Location","Job Assistance","1221 Center Street, Suite 16","Des Moines","IA","50309","1.800.372.6031","Provides the National Farmworkers' Job Program (NFJP), including education, job training, healthcare, legal assistance, and counseling.","http://www.proteusinc.net/"
"Recovery in Action","Physical Location","Substance Abuse","PO Box 13342","Des Moines","IA","50310","515.771.7497","Provides sober, safe housing and accountability for men recovering from substance abuse.","https://www.riadm.com/"
"Relay Iowa","Virtual / Regional (No Address)","Disabilities","","","","","711","Provides free telecommunications relay services (TTY, Voice Carry Over, etc.) for those with hearing or speech difficulties.","https://hamiltonrelay.com/iowa/"
